node_id,alias,expression_raw,expr_type,alias_table,field,primary_table
0,Поле1,"ВЫБОР
		КОГДА &ИСПОЛЬЗОВАТЬДЛЯНПО = 1                                
			ТОГДА ИСТИНА
		ИНАЧЕ ЛОЖЬ
	КОНЕЦ",case_when,,,
1,ТипРезерва,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.ИПС),func_call,,,
2,ТипРезерва,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.ИПС),func_call,,,
3,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.СПС),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.СПС),func_call,,,
4,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийПенсийИПС),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийПенсийИПС),func_call,,,
5,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийПенсийСПС),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийПенсийСПС),func_call,,,
6,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийВыкупныхСуммИПС),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийВыкупныхСуммИПС),func_call,,,
7,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийВыкупныхСуммСПС),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийВыкупныхСуммСПС),func_call,,,
8,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.ПожизненныхВыплат),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.ПожизненныхВыплат),func_call,,,
9,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РПАР),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РПАР),func_call,,,
10,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийПенсийПожизненныхВыплат),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийПенсийПожизненныхВыплат),func_call,,,
11,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийВыкупныхСуммПожизненныхВыплат),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийВыкупныхСуммПожизненныхВыплат),func_call,,,
12,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийНаследниковИПС),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийНаследниковИПС),func_call,,,
13,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийНаследниковСПС),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНачисленийНаследниковСПС),func_call,,,
14,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНаследниковИПС),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНаследниковИПС),func_call,,,
15,ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНаследниковСПС),ЗНАЧЕНИЕ(Перечисление.уп_ТипыРезерва.РезервНаследниковСПС),func_call,,,
16,ВидДокумента,ВидыДокументовФизическихЛиц.Ссылка,field_ref,ВидыДокументовФизическихЛиц,Ссылка,Справочник.ВидыДокументовФизическихЛиц
16,ГДЕ_УСЛОВИЕ,"ВидыДокументовФизическихЛиц.ИмяПредопределенныхДанных <> """"",where_condition,ВидыДокументовФизическихЛиц,ИмяПредопределенныхДанных,Справочник.ВидыДокументовФизическихЛиц
17,ДокументСторно,уп_ОперацияНПО.Ссылка,field_ref,уп_ОперацияНПО,Ссылка,Документ.уп_ОперацияНПО
17,ДокументСторно,уп_ОперацияНПО.Ссылка,field_ref,уп_ВозвратПенсий,Ссылка,Документ.уп_ВозвратПенсий
17,ДокументСторно,уп_ОперацияНПО.Ссылка,field_ref,уп_ВозвратПрочихНачисленийНПО,Ссылка,Документ.уп_ВозвратПрочихНачисленийНПО
17,ДокументСторно,уп_ОперацияНПО.Ссылка,field_ref,ДанныеДокумента,Ссылка,Документ.уп_НДФЛВозвратНалогаУчастникам
17,ГДЕ_УСЛОВИЕ,"уп_ОперацияНПО.Дата МЕЖДУ &НачалоПериода И &КонецПериода
	И уп_ОперацияНПО.СпособЗаполнения = ""Сторно""
	И уп_ОперацияНПО.Организация В(&Организация)",where_condition,уп_ОперацияНПО,Дата,Документ.уп_ОперацияНПО
17,ГДЕ_УСЛОВИЕ,"уп_ОперацияНПО.Дата МЕЖДУ &НачалоПериода И &КонецПериода
	И уп_ОперацияНПО.СпособЗаполнения = ""Сторно""
	И уп_ОперацияНПО.Организация В(&Организация)",where_condition,уп_ОперацияНПО,СпособЗаполнения,Документ.уп_ОперацияНПО
