node_id,node_name,source_name,source_kind,ordinal
16,ВТ_ВидыПаспортов,СПРАВОЧНИК.ВИДЫДОКУМЕНТОВФИЗИЧЕСКИХЛИЦ,Catalog,1
18,Часть_1,ДОКУМЕНТ.УП_ОПЕРАЦИЯНПО,Document,1
19,Часть_2,ДОКУМЕНТ.УП_ВОЗВРАТПЕНСИЙ,Document,1
20,Часть_3,ДОКУМЕНТ.УП_ВОЗВРАТПРОЧИХНАЧИСЛЕНИЙНПО,Document,1
21,Часть_4,ДОКУМЕНТ.УП_НДФЛВОЗВРАТНАЛОГАУЧАСТНИКАМ,Document,1
22,ВТ_ПереводыИзРегистров_ВидыДвижений,ПЕРЕЧИСЛЕНИЕ.ЕПС_ВИДЫДВИЖЕНИЯПЕНСИОННЫХРЕЗЕРВОВ,Enum,1
23,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,ПЕРЕЧИСЛЕНИЕ.ЕПС_ВИДЫДВИЖЕНИЯПЕНСИОННЫХРЕЗЕРВОВ,Enum,1
25,Подзапрос_1,ВТ_ТИПЫРЕЗЕРВОВ,TempTable,1
26,Подзапрос_2,ВТ_ТИПЫРЕЗЕРВОВ,TempTable,1
27,Подзапрос_3,ВТ_ТИПЫРЕЗЕРВОВ,TempTable,1
28,Подзапрос_4,ВТ_ТИПЫРЕЗЕРВОВ,TempTable,1
29,Подзапрос_5,ВТ_ТИПЫРЕЗЕРВОВ,TempTable,1
30,Подзапрос_6,ВТ_ТИПЫРЕЗЕРВОВ,TempTable,1
32,Часть_1,РЕГИСТРНАКОПЛЕНИЯ.УП_РЕЗЕРВЫ.ОСТАТКИ,AccumulationRegister,1
33,Часть_2,РЕГИСТРНАКОПЛЕНИЯ.УП_РЕЗЕРВЫ.ОБОРОТЫ,AccumulationRegister,1
34,Часть_3,РЕГИСТРНАКОПЛЕНИЯ.УП_ВОЗВРАТЫПРОЧИХНАЧИСЛЕНИЙНПО.ОСТАТКИ,AccumulationRegister,1
35,Часть_4,РЕГИСТРНАКОПЛЕНИЯ.УП_ВОЗВРАТЫПРОЧИХНАЧИСЛЕНИЙНПО.ОБОРОТЫ,AccumulationRegister,1
36,Часть_5,РЕГИСТРНАКОПЛЕНИЯ.УП_ВОЗВРАТЫПЕНСИЙНПО.ОСТАТКИ,AccumulationRegister,1
37,Часть_6,РЕГИСТРНАКОПЛЕНИЯ.УП_ВОЗВРАТЫПЕНСИЙНПО.ОБОРОТЫ,AccumulationRegister,1
38,Часть_7,РЕГИСТРНАКОПЛЕНИЯ.УП_НАЧИСЛЕНИЯПЕНСИЙ.ОБОРОТЫ,AccumulationRegister,1
39,Часть_8,РЕГИСТРНАКОПЛЕНИЯ.УП_ПРОЧИЕНАЧИСЛЕНИЯ.ОБОРОТЫ,AccumulationRegister,1
40,Часть_9,РЕГИСТРСВЕДЕНИЙ.УП_СОСТОЯНИЯДОГОВОРА.СРЕЗПОСЛЕДНИХ,InformationRegister,1
41,Часть_10,РЕГИСТРСВЕДЕНИЙ.УП_СОСТОЯНИЯПС.СРЕЗПОСЛЕДНИХ,InformationRegister,1
42,Часть_11,РЕГИСТРСВЕДЕНИЙ.УП_СОСТОЯНИЯПС,InformationRegister,1
44,Часть_1,ВТ_ПЕНСИОННЫЕСЧЕТА_ПР,TempTable,1
45,Часть_2,ВТ_ПЕНСИОННЫЕСЧЕТА_ПР,TempTable,1
46,ВТ_ПричиныЗакрытия,УП_ПРИЧИНЫЗАКРЫТИЯПССРЕЗПОСЛЕДНИХ.ПРИЧИНАЗАКРЫТИЯ,Unknown,1
46,ВТ_ПричиныЗакрытия,ВЫБОР,Unknown,2
46,ВТ_ПричиныЗакрытия,РЕГИСТРСВЕДЕНИЙ.УП_ПРИЧИНЫЗАКРЫТИЯПС.СРЕЗПОСЛЕДНИХ,InformationRegister,3
47,Подзапрос_7,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
